Words,Count,Adjusted_Freq,Valence,Subjectivity
kicked,43,0.020539472,0,0
grams,43,0.020539472,0,0
problems,43,0.020539472,0,0
No,42,0.020061809,0,0
less,42,0.020061809,-0.166666667,0.066666667
amount,42,0.020061809,0,0
grew,42,0.020061809,0,0
California,42,0.020061809,0,0
against,42,0.020061809,0,0
College,42,0.020061809,0,0
ELEMENTARY,42,0.020061809,0.3,0.9
sons,42,0.020061809,0,0
completing,42,0.020061809,0,0
long,42,0.020061809,-0.05,0.4
plead,42,0.020061809,0,0
present,42,0.020061809,0,0
CDS,42,0.020061809,0,0
states,41,0.019584147,0,0
entire,41,0.019584147,0,0.625
Started,41,0.019584147,0,0
anything,41,0.019584147,0,0
September,41,0.019584147,0,0
remained,41,0.019584147,0,0
fathers,41,0.019584147,0,0
within,41,0.019584147,0,0
By,41,0.019584147,0,0
interest,41,0.019584147,0,0
making,41,0.019584147,0,0
running,41,0.019584147,0,0
GED,41,0.019584147,0,0
nights,41,0.019584147,0,0
how,40,0.019106485,0,0
intent,40,0.019106485,0,0
surgery,40,0.019106485,0,0
many,40,0.019106485,0.5,0.5
emotionally,40,0.019106485,0,0.65
approximately,40,0.019106485,-0.4,0.6
caught,40,0.019106485,0,0
eating,40,0.019106485,0,0
active,40,0.019106485,-0.133333333,0.6
stealing,40,0.019106485,0,0
talk,40,0.019106485,0,0
doctor,40,0.019106485,0,0
part,40,0.019106485,0,0
37,40,0.019106485,0,0
grandfather,40,0.019106485,0,0
bars,40,0.019106485,0,0
HIGH,39,0.018628823,0.16,0.54
support,39,0.018628823,0,0
summer,39,0.018628823,0,0
past,39,0.018628823,-0.25,0.25
bonded,39,0.018628823,0,0
medical,39,0.018628823,0,0
2012,39,0.018628823,0,0
fight,39,0.018628823,0,0
remember,39,0.018628823,0,0
attack,39,0.018628823,0,0
BIRTH,39,0.018628823,0,0
attempt,39,0.018628823,0,0
Inpatient,39,0.018628823,0,0
someone,39,0.018628823,0,0
find,39,0.018628823,0,0
2009,39,0.018628823,0,0
private,39,0.018628823,0,0.375
December,39,0.018628823,0,0
shortly,39,0.018628823,0,0.3
sessions,39,0.018628823,0,0
class,39,0.018628823,0,0
