Words,Count,Adjusted_Freq,Valence,Subjectivity,,
seeked,1,8.40548E-05,0,0,,
support,1,8.40548E-05,0,0,,
initial,1,8.40548E-05,0,0,,
unfocused,1,8.40548E-05,-0.4,0.8,,
fight,1,8.40548E-05,0,0,,
virgin,1,8.40548E-05,0,0,,
fought,1,8.40548E-05,0,0,,
drinksday,1,8.40548E-05,0,0,,
happy,90,0.007564932,0.8,1,,
head,6,0.000504329,0,0,,
secondhand,7,0.000588384,-0.1,0.3,,
form,2,0.00016811,0,0,,
attempted,12,0.001008658,0,0,,
forgetful,1,8.40548E-05,-0.1,0.4,,
situationalrecent,1,8.40548E-05,0,0,,
elderly,1,8.40548E-05,0,0,,
Emotional,1,8.40548E-05,0,0.65,,
removed,1,8.40548E-05,0,0,,
TRUE,2,0.00016811,0.35,0.65,,
Left,1,8.40548E-05,0,0,,
absent,1,8.40548E-05,0,0,,
25th,1,8.40548E-05,0,0,,
isolative,1,8.40548E-05,0,0,,
121,1,8.40548E-05,0,0,,
emotional,28,0.002353535,0,0.65,,
panicky,1,8.40548E-05,0,0,,
penal,1,8.40548E-05,0,0,,
juvenile,11,0.000924603,-0.25,0.25,,
proud,3,0.000252164,0.8,1,,
YOUNG,20,0.001681096,0.1,0.4,,
promised,1,8.40548E-05,0,0,,
mediocre,1,8.40548E-05,-0.5,1,,
fraternal,3,0.000252164,0,0,,
physical,68,0.005715727,0,0.142857143,,
eventual,1,8.40548E-05,0,0,,
Traumatic,2,0.00016811,0,0,,
interested,16,0.001344877,0.25,0.5,,
molested,5,0.000420274,0,0,,
felt,1,8.40548E-05,0,0,,
2oz,1,8.40548E-05,0,0,,
intent,2,0.00016811,0,0,,
discharge,2,0.00016811,0,0,,
hurt,2,0.00016811,0,0,,
died,2,0.00016811,0,0,,
babysitting,4,0.000336219,0,0,,
toddleraged,1,8.40548E-05,0,0,,
bottom,1,8.40548E-05,0,0,,
daily,209,0.017567454,0,0,,
dilapidated,1,8.40548E-05,0,0,,
Second,1,8.40548E-05,0,0,,
amniotic,2,0.00016811,0,0,,
bulled,1,8.40548E-05,0,0,,
serious,16,0.001344877,-0.333333333,0.666666667,,
adult,1,8.40548E-05,0.1,0.3,,
18yo,2,0.00016811,0,0,,
remarkable,1,8.40548E-05,0.75,0.75,,
switched,1,8.40548E-05,0,0,,
skip,1,8.40548E-05,0,0,,
mild,9,0.000756493,0.333333333,0.5,,
18yr,1,8.40548E-05,0,0,,
youll,1,8.40548E-05,0,0,,
freelance,1,8.40548E-05,0,0,,
disgusting,2,0.00016811,-1,1,,
810,1,8.40548E-05,0,0,,
protective,9,0.000756493,0,0,,
flatbed,1,8.40548E-05,0,0,,
1sts,1,8.40548E-05,0,0,,
uneventful,1,8.40548E-05,0,0,,
1995,1,8.40548E-05,0,0,,
exact,3,0.000252164,0.25,0.25,,
margarita,1,8.40548E-05,0,0,,
respiratory,1,8.40548E-05,0,0,,
die,2,0.00016811,0,0,,
Northeastern,12,0.001008658,0,0,,
leave,1,8.40548E-05,0,0,,
shielded,1,8.40548E-05,0,0,,
quick,2,0.00016811,0.333333333,0.5,,
unaware,1,8.40548E-05,0,0.5,,
oneonone,1,8.40548E-05,0,0,,
upper,1,8.40548E-05,0,0,,
spiritual,1,8.40548E-05,0,0.133333333,,
unexpected,2,0.00016811,0.1,1,,
dealing,1,8.40548E-05,0,0,,
2month,1,8.40548E-05,0,0,,
helpless,3,0.000252164,0,0,,
Red,2,0.00016811,0,0,,
colic,1,8.40548E-05,0,0,,
stressful,19,0.001597041,0,0,,
contracted,1,8.40548E-05,0,0,,
current,63,0.005295453,0,0.4,,
520,1,8.40548E-05,0,0,,
unsure,14,0.001176767,0,0,,
1232,1,8.40548E-05,0,0,,
assertive,1,8.40548E-05,0,0,,
funeral,3,0.000252164,0,0,,
1oz,20,0.001681096,0,0,,
Kicked,1,8.40548E-05,0,0,,
English,1,8.40548E-05,0,0,,
